"NAME","DESCRIPTION__C","IMAGE__C","TYPE__C","WIDGETURL__C"
"Google Clock","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.matt.org/modules/GoogleClock.xml"
"Recent WikiPages","","","Widget","TeamsWidgetRecentWikiPages"
"Spider","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//abowman.googlepages.com/spider.xml"
"Fish","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//fishgadget.googlecode.com/svn/trunk/fish.xml"
"ToDo","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.labpixies.com/campaigns/todo/todo.xml"
"Recent Activities","","","Widget","TeamsWidgetRecentActivities"
"Mario is Back!","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//homepagegadgets.googlepages.com/mario.xml"
"World Clocks","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.ljmsite.com/google/gadgets/worldclocks.xml"
"Clock & Date","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.canbuffi.de/gadgets/clock/clock.xml"
"Google Calendar","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.google.com/ig/modules/calendar-for-your-site.xml"
"Weather Forecasts","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.labpixies.com/campaigns/weather/weather.xml"
"TeleMessage SMS Sender","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.telemessage.com/qsms/qsms.xml"
"Map","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.google.com/ig/modules/map.xml"
"Garfield of the day","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.listen-project.de/garfield/garfield.xml"
"Santo de Hoy","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//pagina-del-dia.euroresidentes.es/santo-del-dia/gadget-santo-del-dia.xml"
"Search YouTube","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//throttled.org/googlegadgets/youtubesearch.xml"
"Active Discussions","","","Widget","TeamsWidgetActiveDiscussions"
"Tasks","This Widget shows all Tasks for a given Team","","Widget","TeamsWidgetTasksMain"
"Milestones","This Widget shows all Milestones for a given Team","","Widget","TeamsWidgetMilestones"
"Google Calendar Viewer","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//ralph.feedback.googlepages.com/googlecalendarviewer.xml"
"Adorable Babies","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//Mandybare.googlepages.com/Getty.xml"
"UFC Articles","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//amazingjoe.googlepages.com/ufc_gg.xml"
"PacMan v2.6","","","Gadget","http://gmodules.com/ig/ifr?url=http%3A//www.schulz.dk/pacman.xml"
"Wiki Directory","Wiki Directory Description","","Widget","TeamsWidgetWikiDirectory"
